flavor,review_key,product_title,review_text,sentiment,intent,pain_point,brand_fit,confidence
Strawberry,52d6bfad5738fb542b44,Nutri-Fruit Powder Strawberry - 5 oz,"I add this powder to my vanilla protein mix instead of Splenda or other sweetener.  I prefer the Black Raspberry, same brand, but that is just a personal preference.  This is pretty good and I plan to buy some banana powder to mix with it.  Yum.",positive,preference,,moderate,high
Strawberry,8798c8f1b5378a330d29,Freeze Dried Sliced Strawberries by Nutristore | Pack of 2 | Healthy Snack | Emergency Survival Bulk Food Storage | Amazing Taste & Quality | 25 Year Shelf Life,"Yummy freeze dried strawberries!  I first had freeze dried strawberries years ago in the Special K red cereal and while the cereal, overall, sucked, I became mildly obsessed with the dried strawberries and would buy boxes just to pick out the strawberries.<br /><br />I began buying the Nutri Store Freeze Dried strawberries fairly recently and enjoyed them.  I bought this pair of #10 cans discounted to review, knowing I would receive another quality product.<br /><br />Freeze dried fruit is pretty expensive, as it takes so many dehydrated strawberries to fill a container, but they last for a long time and can be used in so many ways.  I typically eat them as a hard candy, just letting them kind of dissolve in my mouth, to get my sugar fix.  I also add them to smoothies and shakes, rather than buying the pricier prepared flavor shake mixes.  I have also used these strawberries in pancakes, muffins and dessert breads.  So versatile and the cans stretch a long way.<br /><br />The flavor and texture of the Nutristore berries is excellent.  Not rock hard, brittle or chewy and gummy.  Every can I Have used has been filled with full slices, very little broken pieces or &#34;strawberry dust&#34;.<br /><br />An excellent value for the quality received!",positive,praise,,moderate,high
Strawberry,7073bd8722feb2374596,Natierra Nature's Organic Freeze-Dried Strawberries | Gluten Free & Vegan | 1.2 Ounce (Pack of 3),Delicious but very expensive for a small amount. These are great to snack on. Or rehydrate them for your protein shakes. I personally find them better as a snack. I usually get a bigger more expensive package and weigh out snacks for the day.,positive,praise,small package size and high price,moderate,high
Chocolate,025ddae55ff21be7a993,"Hammer Recoverite Recovery Drink (Pack of 6), Subtle Citrus","As a long-distance competitive runner, our college-athlete son undergoes weekly training mileage of 100-120 miles a week as preparation for the various races he's gearing up for. With this level of strenuous exercise, he understands the importance of the recovery period immediately following in which the body rebuilds itself even more fit than before.  An intake of appropriate and bio-available protein with a good mix of complex carbohydrates within an hour or two after a strenuous workout is important in maintaining/repairing lean muscle mass.<br /><br />Recoverite provides your body with the appropriate 3:1 ratio of complex carbohydrates and whey protein, along with the amino acid glutamine, the antioxidant l-carnosine, and a full balance of electrolytes. The benefits of all these ingredients are better and faster recovery by minimizing muscle soreness, rebuilding muscle tissue, as well as restoring the depleted glycogen in the muscles.  The glutamine in the mix plays an important role in the health of the digestive tract and strengthening of the body's immune system.<br /><br />This Hammer Recoverite in the chocolate flavor has worked out very well for him. It mixes easily with just milk or water; or sometimes he'll add a frozen banana and ice in the blender to make a smoothie when he has more time.  Some protein mixes have made him nauseous when consumed immediately after an extreme workout.  This Recoverite drink digests easily and gives him no stomach distress or cramping.  I like the fact that it's made with all natural ingredients and contains no artificial sweeteners, gluten, or MSG.<br /><br />For serious endurance athletes, this recovery drink is a great choice for bouncing back from strenuous workouts...allowing the athlete to accomplish more in their training regimen.  As a reminder...this Recoverite is not the type of protein powder drink used by body builders.  Instead, it works to maintain/build lean muscle.<br /><br />For those people who like to know all the ingredients in the products they consume, the ingredient listing on the chocolate flavor is:  Maltodextrin, Whey Protein Isolate, L-Glutamine, Cocoa, Natural Flavor, Calcium Chelate, Xylitol, Magnesium Chelate, Stevia, Potassium Chelate, L-Carnosine, Glycine, Salt, L-Tyrosine, Manganese Chelate, Pyridoxine Hydrochloride, Chromium Polynicotinate.",positive,praise,muscle soreness and recovery needs,strong,high
Chocolate,c379990a139305332084,Muddy Bears 3.1 Ounce Theatre Box (3 Pack),I found these at easter time and can not find them anywhere so i had to order them . you wouldnt think they would be so good but they are. i got 3 boxes honestly not many in a box. they were not melted which was good because it was hot out. they are soft and chewy . The chocolate cancels any sour out that may be in the gummy flavor they are one of my new favorites i just wish they were easier to get ahold of.,positive,praise,hard to find product,moderate,high
Chocolate,22aeb8fdab851b60178a,"Hammer Single Serve Gel Packets (Pack of 12), Chocolate","I'll make this quick. I was on a longer bike ride with my friend (60 miles or so) and I'm way out of shape. So roughly after 30 miles, I my legs started to cramp and I was eating my protein bars but they weren't helping. So luckily my friend gave me these hammer gel packs and I kid you not, within 20 minutes my legs felt so much better and didn't cramp up the rest of the ride. It was like a miracle.<br /><br />If I'm about to go for a longer ride, I usually take one before my ride and then every 30 or so miles. If it's a shorter like, I usually just take it sometime during the ride before I begin to feel fatigued.<br /><br />I highly recommend this gel! I've tried chocolate and blueberry and chocolate is my favorite so far.",positive,praise,,moderate,high
Lemonade,bc4658469e9ab4ffe92f,Vitalyte Electrolyte Replacement Powder Lemonade,I do a monthly fast and this is so handy for keeping up my electrolytes.,positive,praise,,moderate,high
Lemonade,fdf49118acbbcd2b85b7,Vitalyte Electrolyte Replacement Powder Lemonade,"I began researching and using electrolyte supplements because of Burning Man.<br /><br />Hands down, Vitalyte is The BEST. I don't know why DPW won't switch from that awful stuff that keep in the commissary...I've converted many friends and strangers: it works. And fast. Without all the extra nonsense/sugars. The science is there, check out their site.<br /><br />I've only ever gotten the lemon, it has a light, unobtrusive flavor. Why, yes, I've used it to make a lemonade mixer for booze.<br /><br />Also great for hangovers, just like the label reads. If you need electrolyte replenishment for any reason, try Vitalyte and see why it's the best!",positive,praise,,strong,high
Lemonade,1be127f8f57aa60ab394,Vitalyte Electrolyte Replacement Powder Lemonade,"I've been using this drink for over a decade now.  It just seems to have the right amount of electrolytes to help me through mountain biking and running and ice hockey.  There are a number of different flavors, but lemon is my favorite.  I've had other darker-in-color flavors but had problems with them staining my water bottles (I guess that shouldn't really matter anyway).  One of the big reasons why I like this drink is because it isn't too sweet.  When I try drinking gatorade or powerade, I end up hating it or having to dilute it with twice as much water at the minimum.  This one is perfect for me.",positive,preference,Other darker flavors stain water bottles,moderate,high
Banana,a3724ad30de4140ae86f,Banana Flour,"Oh this is good flour, I mix it with coconut flour and I tell you it made some really good low carb high protein waffles with resistive starch.  Had a waffle early this morning and I am still stuffed.  Give it a try you will be glad you did.",positive,praise,,moderate,high
