flavor,mentions,demand,positive_count,negative_count,neutral_count,positive_rate,negative_rate,neutral_rate,purchase_intent_count,request_count,demand_intent_count,praise_count,complaint_count,preference_count,comparison_count,general_mention_count,brand_fit_score,brand_fit_strong,brand_fit_moderate,brand_fit_weak,brand_fit_none,confidence_mode,confidence_high_rate,growth,growth_early_mentions,growth_late_mentions,eligible_for_scoring
Strawberry,9,9,8,1,0,0.8889,0.1111,0.0,0,0,0,5,1,3,0,0,0.7778,3,6,0,0,high,1.0,1.0,2,4,True
Chocolate,7,7,6,0,1,0.8571,0.0,0.1429,0,0,0,6,0,0,0,1,0.8095,3,4,0,0,high,1.0,,1,2,True
Banana,3,3,3,0,0,1.0,0.0,0.0,0,0,0,3,0,0,0,0,0.6667,0,3,0,0,high,0.6667,,0,0,True
Lemonade,3,3,3,0,0,1.0,0.0,0.0,0,0,0,2,0,1,0,0,0.7778,1,2,0,0,high,1.0,,0,0,True
Blueberry,3,3,2,0,1,0.6667,0.0,0.3333,0,0,0,2,0,0,0,1,0.6667,0,3,0,0,high,1.0,,0,0,True
Coconut,2,2,2,0,0,1.0,0.0,0.0,0,0,0,2,0,0,0,0,0.6667,0,2,0,0,high,1.0,,0,0,True
Orange,2,2,2,0,0,1.0,0.0,0.0,0,0,0,2,0,0,0,0,0.5,0,1,1,0,high,0.5,,0,0,True
Raspberry Lime,2,2,2,0,0,1.0,0.0,0.0,0,0,0,2,0,0,0,0,0.8333,1,1,0,0,high,1.0,,0,0,True
Birthday Cake,2,2,1,0,1,0.5,0.0,0.5,0,0,0,1,0,0,0,1,0.1667,0,0,1,1,high,1.0,,0,0,True
Cranberry,2,2,1,0,1,0.5,0.0,0.5,0,0,0,1,0,0,0,1,0.6667,0,2,0,0,high,1.0,,0,0,True
Lemon Lime,2,2,1,0,1,0.5,0.0,0.5,0,0,0,2,0,0,0,0,0.6667,0,2,0,0,high,1.0,,0,0,True
Apple,1,1,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Apricot,1,1,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Citrus Berry,1,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0.6667,0,1,0,0,high,1.0,,0,0,False
Citrus Fruit,1,1,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Fruit Burst,1,1,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Fruit Punch,1,1,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,high,1.0,,0,0,False
Lemon,1,1,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Mint,1,1,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Peach,1,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,high,1.0,,0,0,False
Tropical Fruit,1,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0.3333,0,0,1,0,medium,0.0,,0,0,False
Mango,1,1,0,1,0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Neapolitan,1,1,0,1,0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0.6667,0,1,0,0,high,1.0,,0,0,False
Peanut Butter Chocolate,1,1,0,1,0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,1.0,1,0,0,0,high,1.0,,0,0,False
