rank,flavor,mentions,demand_score,positive_rate,sentiment_score,brand_fit_score,opportunity_score,confidence,confidence_reason,purchase_intent_count,request_count,purchase_intent_available,growth,growth_available,eligible_for_scoring
1,Strawberry,9,100.0,0.8889,88.89,77.78,91.4538,HIGH,"9 mentions with 88.9% positive sentiment and brand-fit 0.78. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,1.0,False,True
2,Chocolate,7,71.4286,0.8571,85.71,80.95,78.0201,HIGH,"7 mentions with 85.7% positive sentiment and brand-fit 0.81. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
3,Lemonade,3,14.2857,1.0,100.0,77.78,55.3119,MEDIUM,"3 mentions; positive sentiment 100.0%; brand-fit 0.78. Volume is limited. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
4,Banana,3,14.2857,1.0,100.0,66.67,52.748,MEDIUM,"3 mentions; positive sentiment 100.0%; brand-fit 0.67. Volume is limited. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
5,Raspberry Lime,2,0.0,1.0,100.0,83.33,49.9992,MEDIUM,"2 mentions; positive sentiment 100.0%; brand-fit 0.83. Volume is limited. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
6,Coconut,2,0.0,1.0,100.0,66.67,46.1546,MEDIUM,"2 mentions; positive sentiment 100.0%; brand-fit 0.67. Volume is limited. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
7,Blueberry,3,14.2857,0.6667,66.67,66.67,42.4926,MEDIUM,"3 mentions; positive sentiment 66.7%; brand-fit 0.67. Volume is limited. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
8,Orange,2,0.0,1.0,100.0,50.0,42.3077,MEDIUM,"2 mentions; positive sentiment 100.0%; brand-fit 0.50. Volume is limited. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
9,Cranberry,2,0.0,0.5,50.0,66.67,30.77,LOW,"Only 2 mentions with positive sentiment 50.0% and brand-fit 0.67. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
10,Lemon Lime,2,0.0,0.5,50.0,66.67,30.77,LOW,"Only 2 mentions with positive sentiment 50.0% and brand-fit 0.67. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
11,Birthday Cake,2,0.0,0.5,50.0,16.67,19.2315,LOW,"Only 2 mentions with positive sentiment 50.0% and brand-fit 0.17. Purchase intent is 0 in this sample and temporal growth is not reliable, so those pillars were excluded from the score.",0,0,False,,False,True
